127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001395
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002308
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001858
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001856
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000388
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001876
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001237
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001404
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001760
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000730
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000567
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001823
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000792
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001899
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001303
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000932
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002581
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000495
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.000337
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.000358
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000285
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.000485
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000291
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/default/edit/examples/models/menu.py, HTTP/1.1, 200, 0.008260
127.0.0.1, 2018-04-16 15:23:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000193
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.025520
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.064724
127.0.0.1, 2018-04-16 15:23:20, GET, /examples/appadmin/hooks, HTTP/1.1, 200, 0.045627
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.030381
127.0.0.1, 2018-04-16 15:23:20, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.189069
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.229841
127.0.0.1, 2018-04-16 15:23:26, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.126434
127.0.0.1, 2018-04-16 15:23:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000211
127.0.0.1, 2018-04-16 15:24:33, GET, /admin/default/site, HTTP/1.1, 200, 0.018911
127.0.0.1, 2018-04-16 15:24:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000206
127.0.0.1, 2018-04-16 15:26:33, GET, /admin/default/site, HTTP/1.1, 200, 0.239612
127.0.0.1, 2018-04-16 15:26:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
127.0.0.1, 2018-04-16 15:28:15, GET, /admin/default/site, HTTP/1.1, 200, 0.017506
127.0.0.1, 2018-04-16 15:28:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000187
